protein1,protein2,Label
6184.A0A430Q4T1,6184.A0A430QB31,1
400682.A0A1X7VV30,61221.ENSVKKP00000013671,0
1503980.A0A261BGC5,45351.A7RGK8,0
282301.A0A267FP97,282301.A0A267GBJ4,1
6182.Q5DE11,6689.A0A3R7LYM6,0
282301.A0A267GBJ4,282301.A0A267GNW7,1
6669.E9G8C4,6669.E9HBK4,1
1561998.A0A1I7TA35,425635.ENSCPGP00000012619,0
7240.B4Q7N2,7240.B4QD13,1
1561998.A0A1I7U824,1611254.A0A2G5VFZ3,0
6198.A0A075A838,7238.B4IBZ4,0
407821.A0A087SXU6,407821.A0A087T2L6,1
6186.A0A183L2S6,6186.A0A183L6D7,1
6205.A0A0R3X2Y8,7234.B4GPZ0,0
400682.A0A1X7VA81,400682.A0A1X7VN09,1
168631.A0A437BJS0,7234.B4GPZ0,0
1611254.A0A2G5U019,1611254.A0A2G5UN57,1
37546.A0A1B0FM85,6188.A0A183QVK5,0
48269.A0A183N6F4,6198.A0A075AJZ6,0
7240.B4Q3N7,7240.B4QF47,1
37546.A0A1B0FQ08,6669.E9G6U8,0
168631.A0A3S2M7G4,168631.A0A437ATT8,1
282301.A0A267G1C6,282301.A0A267GBJ4,1
121845.A0A1S3D5K7,70667.A0A183SF30,0
2018661.A0A2A2KGQ7,2018661.A0A2A2L5G2,1
178035.A0A154PJF7,299321.ENSDCDP00000014391,0
6573.A0A210PZS4,6573.A0A210QXX1,1
30066.A0A182V8M1,6184.A0A430QC15,0
7227.FBpp0079052,7227.FBpp0082158,1
7029.X1WS68,7029.X1XEX1,1
135651.G0MYZ3,135651.G0NMM9,1
31234.E3LYY9,407821.A0A087V0P7,0
137246.A0A401S199,7232.A0A484AUT3,0
31234.E3LMY2,6205.A0A0R3WQL4,0
46245.B5DS02,7719.ENSCINP00000036183,0
168631.A0A3S2N554,268474.A0A0V1MAI5,0
151549.A0A4C1W4A0,48269.A0A183MVP0,0
282301.A0A267DQY8,282301.A0A267FGN3,1
151549.A0A4C1SKP3,283909.R7UGE9,0
6186.A0A183KG78,6186.A0A183L6D7,1
299467.A0A443RY85,48709.A0A1D2N1P8,0
168631.A0A437BJS0,400682.A0A1X7TKM7,0
407821.A0A087V0P7,6184.A0A430QF67,0
6412.T1EYD6,6412.T1FQB5,1
7240.B4Q8G7,7240.B4QI88,1
77166.U4TRM2,77166.U4UCB6,1
407821.A0A087UQ86,407821.A0A087V0P7,1
400727.A0A2T7P2J4,7176.B0W987,0
6184.A0A430QDD0,6945.B7Q5G2,0
282301.A0A267G1C6,7764.ENSEBUP00000003977,0
282301.A0A267DWV9,947166.A0A1D1W9K1,0
372326.A0A1V4KND2,77166.U4UH59,0
70415.A0A5S6QUF6,70415.A0A5S6R3M5,1
48269.A0A183MG53,6265.A0A0B2V810,0
48709.A0A1D2MY19,7868.ENSCMIP00000004945,0
400727.A0A2T7NGV9,45351.A7SPW1,0
31246.A0A183Q7V5,48709.A0A1D2N1P8,0
70415.A0A5S6QHL2,70415.A0A5S6R3M5,1
46835.A0A504YNW8,46835.A0A504Z4A9,1
6205.A0A0R3WPB1,6205.A0A0R3XAJ6,1
1611254.A0A2G5USR2,1611254.A0A2G5UUF5,1
6186.A0A183JG46,6186.A0A183L6D7,1
407821.A0A087UQ87,407821.A0A087V0P7,1
400682.A0A1X7VN09,6573.A0A210R1K6,0
31234.E3NWT1,7739.C3ZJE5,0
1503980.A0A261CAQ0,31234.E3N3Z0,0
407821.A0A087UUP4,407821.A0A087V0P7,1
46835.A0A504YML5,6412.T1FHA3,0
7029.J9JRB4,7029.J9JY18,1
31234.E3MDS0,31234.E3NB25,1
7918.ENSLOCP00000019037,7918.ENSLOCP00000021021,1
282301.A0A267FP97,7240.B4QD13,0
6186.A0A183KTS5,6186.A0A183L6D7,1
947166.A0A1D1VLA0,947166.A0A1D1VZM2,1
6205.A0A0R3WR01,6205.A0A0R3X9I7,1
37653.A0A0L8FHQ7,37653.A0A0L8GPB0,1
31246.A0A183NH61,7240.B4Q8G7,0
46835.A0A504ZAU6,6216.A0A0R3SSY5,0
6188.A0A183RFY1,6669.E9GXQ4,0
53326.A0A016STX5,53326.A0A016WX86,1
7238.B4HNZ8,7238.B4IM61,1
407821.A0A087SXU6,407821.A0A087TDD6,1
13249.T1HA91,70667.A0A183SF30,0
6205.A0A0R3WMW6,6205.A0A0R3WPB1,1
7029.J9JZL3,77166.N6T055,0
36166.T1GRV2,36166.T1H0A0,1
407821.A0A087SXU6,407821.A0A087V0P7,1
48269.A0A183MJK0,53326.A0A016STX5,0
6669.E9GDR8,6669.E9GXQ4,1
135651.G0MYZ3,77166.U4UF70,0
6526.A0A2C9KFZ1,7574.A0A1S3JYN0,0
268474.A0A0V1MAI5,268474.A0A0V1N4H7,1
6186.A0A183L6D7,6198.A0A074ZGZ9,0
268474.A0A0V1M3X2,282301.A0A267H8N5,0
6669.E9FRY7,6669.E9GDR8,1
7240.B4NUS2,7240.B4R2T6,1
1503980.A0A261BGC5,56216.A0A1A6HXA8,0
7029.J9JY18,7029.J9M6P8,1
1561998.A0A1I7UFN0,7240.B4QYX7,0
6188.A0A183QJV5,6188.A0A183QU49,1
282301.A0A267DQY8,282301.A0A267ECE1,1
6198.A0A074ZWD8,6198.A0A074ZY41,1
283909.R7ULG2,30019.A0A0M3QVM0,0
1611254.A0A2G5VL99,333673.A0A3M0KIC6,0
1503980.A0A261BMV4,168631.A0A437BLU2,0
36166.T1GBX3,36166.T1H0A0,1
225164.V4AV12,77166.U4UCB6,0
282301.A0A267FIJ8,282301.A0A267GBJ4,1
6205.A0A0R3X752,7238.B4I4H0,0
29170.A0A368H437,7240.B4NVJ2,0
12930.A0A0Q3LVF4,7574.A0A1S3J979,0
6669.E9GDR8,7739.C3ZAZ7,0
6832.A0A553NYT5,6832.A0A553P764,1
1561998.A0A1I7TA35,1661398.A0A482VTK5,0
7240.B4QNS3,7240.B4R463,1
375764.ENSSORP00005015471,7029.J9JR76,0
7238.B4HWY0,7238.B4I1I8,1
104452.A0A0L7KNB6,7574.A0A1S3H9E0,0
6205.A0A0R3WPB1,6205.A0A0R3WVR6,1
13347.A0A444TNU5,7574.A0A1S3H9E0,0
6211.A0A068Y1E5,6211.A0A068Y3Q7,1
6205.A0A0R3WPB1,6205.A0A0R3WQM1,1
6188.A0A183QSY9,6188.A0A183QV48,1
7240.B4Q3N7,7240.B4QU29,1
400727.A0A2T7NB77,7739.C3YD69,0
7238.B4HLT4,7238.B4I164,1
2018661.A0A2A2JU16,48709.A0A1D2MY19,0
102285.A0A0R3T1M5,102285.A0A0R3TVQ5,1
7227.FBpp0304599,7764.ENSEBUP00000010796,0
121845.A0A1S4E7V6,31234.E3NTQ9,0
53326.A0A016UI67,53326.A0A016WX86,1
6205.A0A0R3WPB1,6205.A0A0R3X986,1
407821.A0A087SXU6,407821.A0A087UQ86,1
268474.A0A0V1MAI5,37653.A0A0L8HQR5,0
6205.A0A0R3WV51,6205.A0A0R3X8X6,0
6184.A0A430Q0J5,6184.A0A430QB31,1
36166.T1GHU0,36166.T1H0A0,1
1561998.A0A1I7UVW1,7240.B4QTG6,0
31234.E3MKT6,6669.E9HRW6,0
400682.A0A1X7SRY8,6211.A0A068YIN8,0
13347.A0A444TH72,48269.A0A183MG53,0
6211.A0A068Y3Q7,6211.A0A068Y7B9,1
283909.R7TPA7,6188.A0A183QJI2,0
6205.A0A0R3WPB1,6205.A0A0R3X8X6,1
31246.A0A183NRU2,6669.E9HVZ6,0
947166.A0A1D1V0M3,947166.A0A1D1VDZ7,1
37653.A0A0L8FRS8,37653.A0A0L8G0Y2,1
13347.A0A444SHP0,13347.A0A444THD3,1
7217.B3MBU2,7217.B3MJC2,1
6184.A0A430QGB0,13347.A0A444T0Q3,0
102285.A0A0R3TCJ1,947166.A0A1D1V1C1,0
268474.A0A0V1MAI5,268474.A0A0V1MFH7,1
7217.B3MJY5,7217.B3MME1,1
7217.B3MJY5,94237.ENSMMOP00000009832,0
6290.A0A3P8AWB7,7395.A0A1A9UVD2,0
6689.A0A3R7LYM6,6689.A0A423SHP9,1
7217.B3MH59,77166.U4U7N1,0
126957.T1IN89,37653.A0A0L8HQR5,0
407821.A0A087T2L6,407821.A0A087V0P7,1
407821.A0A087TNR3,407821.A0A087UGZ5,1
102285.A0A0R3TA68,6186.A0A183L2S6,0
6669.E9GDR8,6669.E9H102,1
7227.FBpp0076039,7719.ENSCINP00000031075,0
6669.E9GDR8,6669.E9HRW6,1
31234.E3N3Z0,947166.A0A1D1V869,0
7238.B4IBZ4,7238.B4IC33,1
